nairobi,330,MilyMyles,14,415,Fri Sep 02 15:20:33 +0000 2011,2107,366648482,True,"#loves ink just doesn't have it yet :p, huge on comic supheroes n villains, Jesus be the man!!!"
Nairobi,93,ronnieTBM,22,200,Fri Jul 02 10:31:11 +0000 2010,614,162004083,True,"Ngugi wa Maina, aka wamashini junior. Techpreneur, Sports Fan, proudly Kenyan."
,1089,Otuambala,299,405,Wed Mar 14 21:03:33 +0000 2012,28590,524727636,False,
Nairobi Kenya,104,anurohfred,10,290,Sun Feb 06 17:13:55 +0000 2011,1081,248277957,True,
"Nairobi, kenya",434,Emmahemmz,68,493,Thu Feb 02 15:02:43 +0000 2012,10302,481284633,True,"sensitive,sweet,laugh alot..but i can be mean......"
Nairobi,456,hmwash,846,432,Sat Dec 17 07:32:45 +0000 2011,19575,438995099,True,"Young Kenyan and Saved|God First|Teetotaller|Uncle|Brother|social |Chelsea fan..#KTBFFH Always..Viewers descretion is Advised.
Hmwikamba@gmail.com"
Path is loading . . .,466,oTwitch,115,266,Tue Aug 04 08:37:57 +0000 2009,47720,62760785,False,Schizophrenic Psycho
"Nairobi,Kenya",143,rexkithinji,8,395,Tue Mar 19 05:17:29 +0000 2013,625,1279594015,True,"A handsome guy but a little shy,outgoing and a good cook.Am an upcoming Entreprenuer.A Movie critic.#Team Arsenal"
kenya,222,alexis_char,27,216,Sun Aug 12 09:01:47 +0000 2012,4838,752773128,False,mmmmh......always put a smile.bt f u piss me off...#punch!!
On The Soul Plane To Kiambu,1114,_TheRAY_,191,815,Wed Sep 14 13:44:25 +0000 2011,38640,373380872,False,"I will S.N.O.B you, I just turned 20 with dreams of being single forever. Founder of Ray Prasetya(sperm bank) Bio Stalker, Twitter Performer #PATHFINDER"
Nairobi Kenya,29,ben_palo,10,303,Sat Mar 16 16:13:14 +0000 2013,160,1272712327,True,Jesus Is Lord.
"Nairobi, Kenya",76,NSC_MombasaRd,0,1,Sun Nov 25 04:10:32 +0000 2012,16809,969336888,True,"Nairobi Smarter City Traffic Awareness for Mombasa Rd. 
Please follow @NairobiSmarterC for general announcements."
"Nairobi, Kenya",34,NSC_MoiAve,0,1,Sun Nov 25 03:19:11 +0000 2012,24775,969281192,True,"Nairobi Smarter City Traffic Awareness for Moi Ave at Mama Ngina St. Junction. 
Please follow @NairobiSmarterC for general announcements."
,488,_ceegun,2043,489,Wed Dec 22 12:16:49 +0000 2010,31826,229444346,False,"my tweets only.     
Blogger at Certified UK."
Nairobi,3956,evelynwatta,263,916,Mon Aug 02 19:31:48 +0000 2010,7299,173955121,True,Passionate Sports Media Proffesional & Cheerful Sports Writer @ http://t.co/eEDio70NYy:-)obsessed with Athletics. I enjoy my travels with an eye for fashion!
Nairobi Kenya,28,MaxwellOkello,10,180,Tue Jul 20 15:25:44 +0000 2010,217,168698954,True,
"Nairobi,Kenya",72,twinoftwinzz,19,207,Thu Feb 11 14:20:30 +0000 2010,2818,113359997,True,Simply Dude | Man UTD Fan Till I Drop | Designer |  Artist | Explorer | Football Is My Main Course | Loves To Travel | #TeamMUFC | #TeamDancehall | #TeamKENYA
Nairobi,23,NgenyiEsther,25,71,Fri Dec 30 13:48:39 +0000 2011,291,450642633,True,"The only thing greater than the power of the mind, is the courage of the heart."
Nairobi,48,geoffrey_sige,4,248,Fri May 27 10:55:31 +0000 2011,305,306140775,True,Best Years of my Life
"Nairobi,Kenya",42,TheCoco6,4,230,Mon Jun 10 07:00:40 +0000 2013,74,1497573584,True,Coco on di Beat : Afrobeat Dancer|Entrepreneur|Money LoVer|Ladies Man| West African.
"Nairobi,Kenya",741,pondypopps,237,974,Tue Feb 02 10:45:52 +0000 2010,22178,110668690,True,"A lawyer by training,Manchester United Fan,Movie Buff,Huge interest in border and cross border affairs and inventor of CUNYOISM."
"Nairobi,Kenya",43,buoy_willy,1,110,Tue Oct 25 20:24:58 +0000 2011,12,398264305,True,Bang Bang#
Ve got a Messianic Attitude!,45,TonyTaiti,1,117,Fri Jun 24 05:22:47 +0000 2011,288,323055294,False,
"Planet Earth, near the Equator",266,bezi_bee,28,609,Tue May 03 14:22:01 +0000 2011,4719,292350156,False,"Unprofessional fiction/film analyst, Art Director by pay cheque, I love photography & general bull. I also write industry articles here: http://t.co/O3NfU3BL"
Psychward,537,homzmusic,61,1357,Fri Apr 24 12:29:49 +0000 2009,9845,34912276,False,Kenya Rugby Fanatic. Arsenal No14. Jehovah's child. Creative mADman. Songwriter.
muiru lane,1616,dchebitwey,21,1427,Fri Jul 08 15:47:34 +0000 2011,1520,331697368,False,"CEO Kenya Yearbook, Pr expert, Chorister(tenor B) Single Handicap Golfer"
No where near you,448,antwaRogue,132,332,Fri May 29 10:06:20 +0000 2009,12048,43305685,False,c'est qui ne me tue pas me rend fort
"Nairobi,Kenya",81,jossita,17,487,Tue Jul 14 11:16:04 +0000 2009,313,56667769,True,I believe in God and good moral virtues/Programmer
#Nairobi,703,Moha_Galgalo,62,926,Tue Aug 16 11:01:13 +0000 2011,6591,356115110,True,"Young Entrepreneur, very ambitious guy, trying to enrich young peoples life through sports and academics. The Chosen one!"
"Nairobi, Kenya",356,FChirchir,28,502,Mon Apr 27 11:26:53 +0000 2009,3851,35719875,True,Spontaneous...
"Nairobi, Kenya",286,Manwadamu,1771,618,Fri Sep 11 17:22:35 +0000 2009,6328,73434413,True,CODE RED
KENYA Nairobi,244,kellyrickie1,1,1243,Mon Aug 27 10:25:30 +0000 2012,369,784353751,True,"STUDENT UNIVERSITY OF NAIROBI UNDERTAKIN BACHELOR OF SCIENCE IN COMPUTER SCIENCE AND TECHNOLOGY!!ACCOUNTS{CPA}GOT EXPNSVE TASTE,ARROGANT,LOVIN,AND GOD  FEARING."
LA/Nairobi/Machakos,66,calvas93,13,236,Mon Jan 07 07:17:32 +0000 2013,182,1067669360,True,Im all Kenyan Kenya| Mkenya Inside wear Founder                                                                               Im public figure bt do i say!!
Kenya,127,MRosewell,204,195,Tue May 10 09:02:36 +0000 2011,11557,296156738,False,AWESOME.......best describes me.
,2,AstarKui,1,3,Sat Dec 01 13:44:02 +0000 2012,8,982564338,False,
Nairobi,26,KennethAnakoli,1,298,Mon Sep 17 06:05:25 +0000 2012,198,828448958,True,
"Nairobi, Kenya",52,NSC_NyayoRndbt,0,1,Fri Nov 23 08:27:43 +0000 2012,16932,965737039,True,Nairobi Smarter City Traffic Awareness for Nyayo Roundabout. Please follow @NairobiSmarterC for general announcements.
